build,stage,version,alive_mean,alive_median,alive_p90,alive_p95,alive_p99,alive_peak,below_five_seconds,clear,close120_mean,close120_median,close120_p90,close120_p95,close120_p99,close120_peak,cpu_ms_mean,cpu_ms_median,cpu_ms_p90,cpu_ms_p95,cpu_ms_p99,cpu_ms_peak,death,draw_calls,effective_hp_dps,enemy_projectile_peak,engagement200_rate,frame_ms_mean,frame_ms_median,frame_ms_p90,frame_ms_p95,frame_ms_p99,frame_ms_peak,hp_loss,illegal_spawns,kill_rate,longest_dead_air,movement,player_projectile_peak,seconds,shots,simple_ratio,spawn_rate,vfx_peak,arrival_sides_0,arrival_sides_1,arrival_sides_2,arrival_sides_3,including_cold_max_ms,overlap_peak,path_queries,reinforcement_with_survivors,spawn_path_queries,stuck_seconds_peak
A,29,final,83.9230769230769,91,145,145,145,145,1.34472,False,20.585798816568,23,34,36,38,39,2.31570756062761,2.242,3.288,3.365,3.365,3.365,True,0.0,3.00068197317572,33,8.41100250056831,6.90126248216833,6.862,13.314,14.755,16.666,18.446,13.0,0,1.87542623323483,0.31032,1163.37410043273,3,17.596,32,0.696629213483146,10.1159354398727,6,19,7,46,106,18.446,3,7038,10,178,4.870387
B,18,baseline,4.36405529953917,3,11,13,14,14,27.2625702222222,True,0.850230414746544,0,2,4,5,8,3.77497426810478,1.031,1.562,6.811,120.271,120.271,False,0.0,5.98313359964491,0,2.64092321349312,6.92591725731896,6.9,7.665,7.886,8.519,126.802,0.0,0,2.90723479804705,8.178656,4387.29279613495,19,45.06,519,0.610687022900763,2.90723479804705,6,,,,,,,,,,
B,18,final,2.70438799076212,2,5,7,11,12,39.1633169999999,True,0.251732101616628,0,1,2,4,7,1.16601250411319,1.099,1.632,1.681,1.983,1.983,False,0.0,2.98075853631409,0,1.42364586809031,6.90005511681476,6.902,7.558,7.718,8.126,8.98,0.0,0,1.42364586809031,0.310452,5574.61834621429,23,44.955,682,0.606060606060606,1.46813480146813,5,8,20,16,22,129.607,0,945,0,66,0.621
B,21,baseline,4.26267281105991,4,9,9,11,12,26.7009875555556,True,0.714285714285714,0,2,3,4,7,1.32718273955778,0.947,1.183,1.272,11.457,11.457,False,0.0,14.4818088934299,0,2.99853405001999,6.90004545454549,6.898,7.612,7.765,8.345,12.821,0.0,0,3.39833859002266,0.5172,5474.89917649888,26,45.022,683,0.623376623376623,3.42054995335614,7,,,,,,,,,,
B,21,final,6.73103448275862,6,12,14,19,20,15.0097298888889,True,0.572413793103448,0,2,2,4,5,1.29056825657899,1.088,1.653,2.077,6.581,6.581,False,0.0,18.239971569455,0,4.10910221669406,6.90014687500001,6.898,7.884,8.129,8.678,13.107,0.0,0,4.55332948336369,1.13784,5495.26061427593,26,45.022,687,0.661904761904762,4.6643863000311,5,45,56,44,65,14.693,1,1667,19,210,0.623369777777778
B,24,baseline,11.5207373271889,11,18,21,27,29,1.966257,True,1.2073732718894,0,4,5,6,7,1.28307707661605,1.016,1.299,1.328,12.49,12.49,False,0.0,9.47092532539646,0,3.97583403669317,6.90011530784585,6.897,7.944,8.167,8.736,12.886,0.0,0,4.22015903336147,0.103585333333333,5504.73028361797,22,45.022,709,0.682926829268293,4.55332948336369,4,,,,,,,,,,
B,24,final,15.0115207373272,14,24,26,35,36,0.932720888888889,True,1.58064516129032,1,4,5,7,9,1.3142481907895,1.293,1.616,1.804,1.992,1.992,False,0.0,16.0632579627738,0,6.70783172671139,6.90036414473686,6.897,8.338,8.665,9.27,11.246,0.0,0,7.30753853671538,0.104069777777778,5569.34956393577,23,45.022,722,0.720670391061452,7.95166807338634,5,66,73,150,69,12.853,1,3267,24,358,0.625
B,26,baseline,3.33179723502304,3,7,9,11,13,30.4273973333333,True,0.412442396313364,0,1,2,4,6,1.48174973130662,1.083,1.629,6.535,11.274,11.274,False,0.0,6.78779263471191,0,2.82084314335214,6.90004299094122,6.898,7.634,7.801,8.426,13.817,0.0,0,3.48718404335658,5.79264,4828.97084951401,24,45.022,581,0.630573248407643,3.48718404335658,7,,,,,,,,,,
B,26,final,10.110599078341,10,14,17,20,21,2.38079055555555,True,1.21198156682028,1,4,5,8,9,1.43605361842108,1.331,1.78,2.104,2.619,2.619,False,0.0,12.5227666474168,0,5.77495446670517,6.90000361842105,6.904,8.246,8.57,9.36,10.911,0.0,0,6.50792945671005,0.31199055555555,5559.05400931835,24,45.022,716,0.668852459016393,6.77446581671183,6,39,80,46,140,12.832,1,2415,26,305,2.38136533333333
B,27,baseline,4.18620689655172,4,8,9,11,12,24.7369862222222,True,0.611494252873563,0,2,3,4,5,1.46585260248733,1.054,1.559,1.862,11.653,11.653,False,0.0,9.62640486873083,0,3.19843632002132,6.89998372485801,6.899,7.64,7.81,8.399,13.499,0.0,0,3.50939540669006,0.519445333333333,5536.56582224369,26,45.022,688,0.62111801242236,3.57602949669051,1,,,,,,,,,,
